member_number_members_sa,id_membership_periods_sa,purchased_on_adjusted_mp,real_membership_types_sa,new_member_category_6_sa,membership_type_id_mp,starts_mp,ends_mp
441464704,3958087,"2021-12-04 00:00:00",one_day,"One Day - $15",47,2021-12-04,2021-12-04
441464704,3982472,"2021-12-04 00:00:00",one_day,"One Day - $15",47,2021-12-04,2021-12-04
441640442,3958320,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
441640442,3965260,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
441669894,3957212,"2021-12-04 00:00:00",one_day,"One Day - $15",47,2021-12-04,2021-12-04
441669894,3981823,"2021-12-04 00:00:00",one_day,"One Day - $15",47,2021-12-04,2021-12-04
442302611,3955694,"2022-06-11 00:00:00",one_day,"One Day - $15",47,2022-06-11,2022-06-12
442302611,3965271,"2022-06-11 00:00:00",one_day,"One Day - $15",47,2022-06-11,2022-06-12
442413453,3957141,"2021-09-19 00:00:00",one_day,"One Day - $15",47,2021-09-19,2021-09-19
442413453,3981770,"2021-09-19 00:00:00",one_day,"One Day - $15",47,2021-09-19,2021-09-19
443031898,3957443,"2022-07-30 00:00:00",one_day,"One Day - $15",47,2022-07-30,2022-07-31
443031898,3981991,"2022-07-30 00:00:00",one_day,"One Day - $15",47,2022-07-30,2022-07-31
443068916,3958825,"2022-05-14 00:00:00",one_day,"One Day - $15",47,2022-05-14,2022-05-15
443068916,3983128,"2022-05-14 00:00:00",one_day,"One Day - $15",47,2022-05-14,2022-05-15
443086076,3957419,"2021-12-19 00:00:00",one_day,"One Day - $15",47,2021-12-19,2021-12-19
443086076,3981973,"2021-12-19 00:00:00",one_day,"One Day - $15",47,2021-12-19,2021-12-19
443176210,4538920,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
443176210,4543999,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
443238263,3958222,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
443238263,3967056,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
443406915,4694920,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
